N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP final_t init_energy tot_num_tap_paths_tol_1e-2 tot_num_tap_paths_tol_1e-3 tot_num_tap_paths_tol_1e-4 tot_num_tap_paths_tol_1e-5 tot_num_tap_paths_tol_1e-6 tot_num_tap_paths_tol_1e-9
416 8 4.394230769230769 2.0 145989 2 3.96849047587e+01 9.6757e-06 8.70000000000e+01 9.000000e+01 7.5000e-01 2.36615e-01 1.08750e+01 2.4808e+02 1.0500e+01 9.1904e-02 1.1934e-01 9.5186e-02 1.2191e-07 2.0000e+00 Anaheim_gamma2_3rdtry 8 0 0 0 0 0.00020481919282931867 0.0 0.0 0.0 0.0 0.0 3.56042e-01 145988 9.00000000000e+01 123 204 227 231 231 231
416 8 4.394230769230769 2.0 145989 1 4.80094140862e+01 1.1512e-05 1.01000000000e+02 1.300000e+02 7.5000e-01 2.42752e-01 1.23750e+01 2.5775e+02 1.2000e+01 1.0503e-01 1.3798e-01 1.0832e-01 1.1990e-07 2.0000e+00 Anaheim_gamma2_3rdtry 8 0 0 0 0 0.00017777234449849907 0.0 0.0 0.0 0.0 0.0 3.66907e-01 145988 1.30000000000e+02 132 207 240 242 245 246
416 8 4.394230769230769 2.0 145989 0 3.64900841766e+01 1.1446e-05 9.40000000000e+01 1.000000e+02 6.2500e-01 2.25948e-01 1.17500e+01 2.5987e+02 1.1250e+01 9.8468e-02 1.3127e-01 1.0284e-01 1.5684e-07 2.0000e+00 Anaheim_gamma2_3rdtry 8 0 0 0 5.7800361635829134e-08 5.7800361635829134e-08 0.0 0.0 0.0 0.0 0.0 2.73491e-01 145988 1.00000000000e+02 126 212 255 271 271 272
416 13 4.394230769230769 2.0 144294 2 8.24362453578e+01 1.0897e-05 1.53000000000e+02 1.750000e+02 8.4615e-01 2.82099e-01 1.08462e+01 3.0017e+02 1.0692e+01 1.5208e-01 1.8639e-01 1.5427e-01 6.6094e-08 2.0000e+00 Anaheim_gamma2_3rdtry 13 0 0 0 0 4.2166629682675836e-05 0.0 0.0 0.0 0.0 0.0 4.70823e-01 144293 1.75000000000e+02 145 198 220 225 225 225
416 13 4.394230769230769 2.0 144294 0 7.80780977257e+01 1.2877e-05 1.59000000000e+02 1.690000e+02 6.9231e-01 2.97335e-01 1.20769e+01 3.0266e+02 1.1615e+01 1.6521e-01 2.0624e-01 1.7177e-01 8.2462e-08 2.0000e+00 Anaheim_gamma2_3rdtry 13 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 3.30936e-01 144293 1.69000000000e+02 162 236 260 268 268 268
416 13 4.394230769230769 2.0 144294 1 1.00380747859e+02 1.7133e-05 1.91000000000e+02 2.410000e+02 6.9231e-01 2.45575e-01 1.43846e+01 3.1338e+02 1.2846e+01 1.8271e-01 2.3127e-01 2.0460e-01 8.5339e-08 2.0000e+00 Anaheim_gamma2_3rdtry 13 0 0 0 0 8.380034299902452e-05 0.0 0.0 0.0 0.0 0.0 3.77802e-01 144293 2.41000000000e+02 187 290 325 335 335 335
416 20 4.394230769230769 2.0 142231 2 1.79938822991e+02 1.9746e-05 2.97000000000e+02 3.280000e+02 7.5000e-01 3.08397e-01 1.19500e+01 3.5486e+02 1.1500e+01 2.5164e-01 2.9890e-01 2.6149e-01 5.4870e-08 2.0000e+00 Anaheim_gamma2_3rdtry 20 0 0 0 2.7178185009815725e-07 2.7178185009815725e-07 0.0 0.0 0.0 0.0 0.0 4.88335e-01 142230 3.28000000000e+02 192 279 322 334 335 336
416 20 4.394230769230769 2.0 142231 1 1.47625250165e+02 2.3139e-05 2.58000000000e+02 3.180000e+02 7.0000e-01 3.04991e-01 1.16000e+01 3.8251e+02 1.0900e+01 2.3851e-01 2.9465e-01 2.5383e-01 7.8369e-08 2.0000e+00 Anaheim_gamma2_3rdtry 20 0 0 0 4.541201266848289e-08 1.4933222293941655e-06 0.0 0.0 0.0 0.0 0.0 3.95032e-01 142230 3.18000000000e+02 229 328 370 377 379 381
416 31 4.394230769230769 2.0 139421 0 3.29520510300e+02 3.2872e-05 4.55000000000e+02 5.710000e+02 6.4516e-01 4.19783e-01 1.21613e+01 4.5106e+02 1.1581e+01 3.9278e-01 4.5243e-01 4.1247e-01 4.9878e-08 2.0000e+00 Anaheim_gamma2_3rdtry 31 0 0 0 0 0 0.03225806451612903 0.03225806451612903 0.03225806451612903 0.03225806451612903 0.03225806451612903 4.96754e-01 139420 5.71000000000e+02 244 320 363 377 378 378
416 31 4.394230769230769 2.0 139421 1 2.81288493599e+02 3.3102e-05 4.37000000000e+02 5.350000e+02 7.0968e-01 3.76507e-01 1.15806e+01 4.6764e+02 1.1000e+01 3.7309e-01 4.4230e-01 3.9278e-01 5.8840e-08 2.0000e+00 Anaheim_gamma2_3rdtry 31 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 4.68226e-01 139420 5.35000000000e+02 283 378 403 416 416 416
416 47 4.394230769230769 2.0 135910 2 6.79937721038e+02 5.0785e-05 8.57000000000e+02 1.054000e+03 6.3830e-01 4.56103e-01 1.25319e+01 5.9256e+02 1.1787e+01 6.0613e-01 6.7847e-01 6.4442e-01 3.7345e-08 2.0000e+00 Anaheim_gamma2_3rdtry 47 0 0 0 0 2.5379657480062434e-06 0.0425531914893617 0.0425531914893617 0.0425531914893617 0.0425531914893617 0.0 5.50056e-01 135909 1.05400000000e+03 318 415 463 478 482 482
416 47 4.394230769230769 2.0 135910 1 6.43330104013e+02 4.1576e-05 8.96000000000e+02 1.124000e+03 6.3830e-01 4.33718e-01 1.23404e+01 6.1594e+02 1.1702e+01 6.0175e-01 6.9260e-01 6.3457e-01 3.2313e-08 2.0000e+00 Anaheim_gamma2_3rdtry 47 0 0 0 5.13161878915267e-07 0.0003629087764259437 0.06382978723404255 0.06382978723404255 0.06382978723404255 0.06382978723404255 0.0 4.42145e-01 135909 1.12400000000e+03 340 427 462 477 479 483
416 47 4.394230769230769 2.0 135910 0 7.35764427505e+02 5.3699e-05 9.40000000000e+02 1.132000e+03 6.8085e-01 4.49533e-01 1.28085e+01 6.1930e+02 1.2085e+01 6.2144e-01 6.9844e-01 6.5864e-01 3.6492e-08 2.0000e+00 Anaheim_gamma2_3rdtry 47 0 0 0 2.8326959310876775e-08 8.13505932680585e-05 0.0851063829787234 0.0851063829787234 0.0851063829787234 0.0851063829787234 0.02127659574468085 5.12643e-01 135909 1.13200000000e+03 343 461 510 531 535 538
416 72 4.394230769230769 2.0 131263 2 1.52815526167e+03 7.2060e-05 1.81700000000e+03 2.274000e+03 6.1111e-01 5.05081e-01 1.29583e+01 7.6068e+02 1.2111e+01 9.5405e-01 1.0430e+00 1.0208e+00 2.3578e-08 2.0000e+00 Anaheim_gamma2_3rdtry 72 0 0 0 5.493659948722215e-08 6.059628288919074e-06 0.041666666666666664 0.041666666666666664 0.041666666666666664 0.027777777777777776 0.0 5.46014e-01 131262 2.27400000000e+03 400 484 519 536 538 542
416 72 4.394230769230769 2.0 131263 0 1.60311062479e+03 1.0440e-04 2.01800000000e+03 2.408000e+03 6.2500e-01 4.67989e-01 1.32500e+01 7.7382e+02 1.2528e+01 9.8687e-01 1.0896e+00 1.0438e+00 3.2561e-08 2.0000e+00 Anaheim_gamma2_3rdtry 72 0 0 0 0 0 0.05555555555555555 0.05555555555555555 0.05555555555555555 0.05555555555555555 0.013888888888888888 5.03440e-01 131262 2.40800000000e+03 477 614 661 674 679 680
416 72 4.394230769230769 2.0 131263 1 1.38561648850e+03 7.8439e-05 1.69200000000e+03 2.217000e+03 6.2500e-01 5.07809e-01 1.25556e+01 7.8888e+02 1.1792e+01 9.2888e-01 1.0378e+00 9.8906e-01 2.8305e-08 2.0000e+00 Anaheim_gamma2_3rdtry 72 0 0 0 0 7.3581835058657286e-06 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.0 5.08258e-01 131262 2.21700000000e+03 455 570 624 642 646 650
416 110 4.394230769230769 2.0 125401 0 3.24099108233e+03 1.9049e-04 3.75100000000e+03 4.738000e+03 5.9091e-01 5.35958e-01 1.28636e+01 9.7857e+02 1.2055e+01 1.4508e+00 1.5881e+00 1.5481e+00 2.9388e-08 2.0000e+00 Anaheim_gamma2_3rdtry 110 0 0 0 4.751864678759967e-07 0.026910996358927856 0.14545454545454545 0.13636363636363635 0.13636363636363635 0.13636363636363635 0.00909090909090909 5.23449e-01 125400 4.73800000000e+03 645 843 939 967 970 974
416 110 4.394230769230769 2.0 125401 2 3.13940665319e+03 1.4040e-04 3.51700000000e+03 4.657000e+03 6.8182e-01 5.50193e-01 1.25909e+01 1.0565e+03 1.2045e+01 1.4497e+00 1.5672e+00 1.5153e+00 2.2360e-08 2.0000e+00 Anaheim_gamma2_3rdtry 110 0 0 0 0 0 0.12727272727272726 0.10909090909090909 0.10909090909090909 0.10909090909090909 0.0 5.79347e-01 125400 4.65700000000e+03 574 704 766 790 795 798
416 110 4.394230769230769 2.0 125401 1 3.22727629529e+03 1.0834e-04 3.61200000000e+03 5.189000e+03 6.1818e-01 5.56766e-01 1.31636e+01 1.2288e+03 1.2373e+01 1.4891e+00 1.6234e+00 1.5842e+00 1.6784e-08 2.0000e+00 Anaheim_gamma2_3rdtry 110 0 0 0 1.411930596805964e-06 2.9473146418634487e-05 0.12727272727272726 0.11818181818181818 0.11818181818181818 0.10909090909090909 0.0 5.52510e-01 125400 5.18900000000e+03 535 616 658 677 681 683
416 169 4.394230769230769 2.0 118046 0 7.09502015807e+03 3.1682e-04 7.87200000000e+03 1.013700e+04 5.9172e-01 5.63730e-01 1.28166e+01 1.2795e+03 1.2006e+01 2.2199e+00 2.4093e+00 2.3698e+00 2.2327e-08 2.0000e+00 Anaheim_gamma2_3rdtry 169 0 0 0 0 0 0.17159763313609466 0.17159763313609466 0.17159763313609466 0.17159763313609466 0.011834319526627219 5.48529e-01 118045 1.01370000000e+04 877 1114 1221 1257 1262 1262
416 169 4.394230769230769 2.0 118046 2 6.79806552005e+03 2.7093e-04 7.39100000000e+03 9.708000e+03 6.2130e-01 5.68163e-01 1.26095e+01 1.2934e+03 1.1893e+01 2.1991e+00 2.3600e+00 2.3315e+00 1.9927e-08 2.0000e+00 Anaheim_gamma2_3rdtry 169 0 0 0 0 0 0.14792899408284024 0.14792899408284024 0.14792899408284024 0.14201183431952663 0.005917159763313609 5.84682e-01 118045 9.70800000000e+03 774 922 1002 1034 1037 1037
416 169 4.394230769230769 2.0 118046 1 7.17881052160e+03 2.4953e-04 7.81300000000e+03 1.146400e+04 5.9172e-01 5.77958e-01 1.31183e+01 1.3718e+03 1.2343e+01 2.2823e+00 2.4573e+00 2.4256e+00 1.7380e-08 2.0000e+00 Anaheim_gamma2_3rdtry 169 0 0 0 1.980542707069636e-08 7.626703692976692e-07 0.15976331360946747 0.15976331360946747 0.15976331360946747 0.15976331360946747 0.01775147928994083 5.57644e-01 118045 1.14640000000e+04 759 928 1000 1031 1034 1037
416 259 4.394230769230769 2.0 109261 0 1.60535747764e+04 6.4923e-04 1.76280000000e+04 2.201400e+04 6.4479e-01 5.85316e-01 1.27027e+01 1.7607e+03 1.2062e+01 3.4179e+00 3.6723e+00 3.5996e+00 2.0221e-08 2.0000e+00 Anaheim_gamma2_3rdtry 259 0 0 0 3.1984851766542766e-05 0.0001234579447753308 0.20077220077220076 0.20077220077220076 0.20077220077220076 0.20077220077220076 0.011583011583011582 5.86102e-01 109260 2.20140000000e+04 1259 1607 1761 1809 1815 1818
416 397 4.394230769230769 2.0 99099 2 3.44044394733e+04 1.4008e-03 3.71700000000e+04 4.875400e+04 6.4232e-01 6.38718e-01 1.23174e+01 2.0927e+03 1.1652e+01 5.0613e+00 5.4107e+00 5.3501e+00 2.0358e-08 2.0000e+00 Anaheim_gamma2_3rdtry 396 0 0 0 0 0 0.2695214105793451 0.26700251889168763 0.2619647355163728 0.2619647355163728 0.037783375314861464 6.05362e-01 99098 4.87540000000e+04 1558 1854 1987 2037 2041 2051
416 608 4.394230769230769 2.0 87868 1 8.63768675421e+04 3.3889e-03 9.23250000000e+04 1.240680e+05 6.2993e-01 6.17134e-01 1.29293e+01 2.8418e+03 1.2191e+01 8.1094e+00 8.6397e+00 8.6007e+00 1.9617e-08 2.0000e+00 Anaheim_gamma2_3rdtry 608 0 0 0 5.259155656213155e-06 5.259155656213155e-06 0.24671052631578946 0.24671052631578946 0.24671052631578946 0.24177631578947367 0.019736842105263157 6.12439e-01 87867 1.24068000000e+05 2370 2848 3079 3161 3172 3195
416 932 4.394230769230769 2.0 75982 2 1.90550803209e+05 9.1956e-03 2.05347000000e+05 2.683430e+05 6.1910e-01 6.48617e-01 1.25569e+01 3.2036e+03 1.1922e+01 1.2156e+01 1.2920e+01 1.2804e+01 2.4129e-08 2.0000e+00 Anaheim_gamma2_3rdtry 928 0 0 0 2.055669183085031e-06 2.055669183085031e-06 0.3090128755364807 0.30793991416309013 0.30686695278969955 0.30686695278969955 0.034334763948497854 5.94808e-01 75981 2.68343000000e+05 3375 4128 4465 4588 4599 4607
416 932 4.394230769230769 2.0 75982 1 1.97015371734e+05 8.4422e-03 2.10781000000e+05 2.788190e+05 6.3734e-01 6.35484e-01 1.27779e+01 3.3465e+03 1.2098e+01 1.2336e+01 1.3124e+01 1.3030e+01 2.1425e-08 2.0000e+00 Anaheim_gamma2_3rdtry 930 0 0 0 1.130843575376399e-05 0.0010111018525629971 0.29721030042918456 0.2939914163090129 0.28969957081545067 0.2886266094420601 0.02575107296137339 6.08627e-01 75981 2.78819000000e+05 3538 4247 4590 4712 4732 4759
416 932 4.394230769230769 2.0 75982 0 1.97715481317e+05 1.0646e-02 2.12521000000e+05 2.701240e+05 6.3305e-01 6.12798e-01 1.27414e+01 3.3485e+03 1.2069e+01 1.2306e+01 1.3127e+01 1.2992e+01 2.6922e-08 2.0000e+00 Anaheim_gamma2_3rdtry 932 0 0 0 4.046741325654125e-05 0.0002944232093798563 0.26609442060085836 0.259656652360515 0.25858369098712447 0.2510729613733906 0.022532188841201718 5.93541e-01 75981 2.70124000000e+05 4117 5244 5709 5911 5925 5940
416 608 4.394230769230769 2.0 87868 2 8.01760906605e+04 3.2860e-03 8.63260000000e+04 1.134450e+05 6.2500e-01 6.51469e-01 1.23684e+01 3.5442e+03 1.1692e+01 7.7779e+00 8.2979e+00 8.2276e+00 2.0493e-08 2.0000e+00 Anaheim_gamma2_3rdtry 605 0 0 0 6.591137291305245e-06 0.00020539570817647277 0.2894736842105263 0.2845394736842105 0.28125 0.28125 0.029605263157894735 5.99788e-01 87867 1.13445000000e+05 2191 2640 2841 2920 2927 2943
416 1429 4.394230769230769 2.0 64041 0 4.45313097647e+05 3.4241e-02 4.83720000000e+05 6.026880e+05 6.3471e-01 6.26319e-01 1.25752e+01 3.6934e+03 1.1903e+01 1.8611e+01 1.9811e+01 1.9661e+01 3.8446e-08 2.0000e+00 Anaheim_gamma2_3rdtry 1426 0 0 5.654624842369393e-06 0.00012239872003685316 0.01118686015668821 0.3002099370188943 0.29531140657802657 0.29531140657802657 0.2925122463261022 0.023792862141357594 6.01730e-01 64040 6.02688000000e+05 6005 7320 7935 8132 8193 8257
416 1429 4.394230769230769 2.0 64041 2 4.31043335170e+05 2.7106e-02 4.65068000000e+05 5.987700e+05 6.3611e-01 6.51978e-01 1.23709e+01 3.8836e+03 1.1765e+01 1.8394e+01 1.9507e+01 1.9341e+01 3.1442e-08 2.0000e+00 Anaheim_gamma2_3rdtry 1422 0 0 0 0.0023761791706206742 0.0026303029949663525 0.31280615815255425 0.311406578026592 0.3107067879636109 0.3107067879636109 0.031490552834149754 6.14218e-01 64040 5.98770000000e+05 5277 6320 6747 6874 6899 6911
416 2191 4.394230769230769 2.0 52642 0 1.05556207420e+06 1.0864e-01 1.14362300000e+06 1.437615e+06 6.3715e-01 6.27559e-01 1.26385e+01 4.0620e+03 1.2016e+01 2.8804e+01 3.0584e+01 3.0296e+01 5.1461e-08 2.0000e+00 Anaheim_gamma2_3rdtry 2180 0 0 0 0.000993390669814055 0.13468976253260012 0.30077590141487903 0.3003194888178914 0.2975810132359653 0.2952989502510269 0.03194888178913738 6.06257e-01 52641 1.43761500000e+06 9132 11072 11889 12189 12229 12302
416 2191 4.394230769230769 2.0 52642 1 1.02920653216e+06 9.5423e-02 1.10189200000e+06 1.426826e+06 6.5450e-01 6.50362e-01 1.24774e+01 4.5017e+03 1.1887e+01 2.8495e+01 3.0193e+01 2.9910e+01 4.6357e-08 2.0000e+00 Anaheim_gamma2_3rdtry 2178 0 0 0 0.0010825499255936798 0.0013551908107282244 0.33865814696485624 0.3372889091738932 0.3372889091738932 0.3318119580100411 0.03423094477407576 6.23113e-01 52641 1.42682600000e+06 8066 9978 10719 11073 11141 11210
416 5151 4.394230769230769 2.0 33249 2 5.51941253829e+06 8.2141e-01 5.91497500000e+06 7.604000e+06 6.4434e-01 6.54329e-01 1.23190e+01 4.7324e+03 1.1723e+01 6.6068e+01 6.9970e+01 6.9426e+01 7.4411e-08 2.0000e+00 Anaheim_gamma2_3rdtry 5076 0 0 3.908801369353086e-07 0.01684220518630376 0.7206725973616386 0.35352358765288294 0.35216462822752864 0.3428460493108134 0.3424577751892836 0.045039798097456805 6.21429e-01 33248 7.60400000000e+06 19280 23074 24748 25340 25521 25600
416 3360 4.394230769230769 2.0 42269 2 2.35200080501e+06 2.7349e-01 2.52366100000e+06 3.234345e+06 6.4524e-01 6.52781e-01 1.23253e+01 4.8190e+03 1.1725e+01 4.3104e+01 4.5671e+01 4.5310e+01 5.8141e-08 2.0000e+00 Anaheim_gamma2_3rdtry 3334 0 0 0 0.0002974349502231189 0.07537799270078718 0.3413690476190476 0.3380952380952381 0.33779761904761907 0.33779761904761907 0.04107142857142857 6.24581e-01 42268 3.23434500000e+06 12619 15370 16426 16833 16909 16978
416 5151 4.394230769230769 2.0 33249 1 5.61797964771e+06 8.3275e-01 6.01704000000e+06 7.676171e+06 6.5308e-01 6.43935e-01 1.24224e+01 5.3434e+03 1.1808e+01 6.6546e+01 7.0575e+01 7.0009e+01 7.4115e-08 2.0000e+00 Anaheim_gamma2_3rdtry 5075 0 0 3.978249650914034e-06 4.197044147386428e-05 0.11972128060174046 0.33760434867016115 0.3356629780625121 0.33119782566491945 0.3310036886041545 0.042321879246748205 6.26577e-01 33248 7.67617100000e+06 19771 24086 25766 26346 26444 26517
416 7897 4.394230769230769 2.0 25694 0 1.33845576966e+07 2.6447e+00 1.43068670000e+07 1.835272e+07 6.4733e-01 6.44834e-01 1.24963e+01 5.4838e+03 1.1890e+01 1.0273e+02 1.0888e+02 1.0797e+02 9.8796e-08 2.0000e+00 Anaheim_gamma2_3rdtry 7726 0 0 0.0010171321487265144 0.012807183303846148 0.3094241101411481 0.3416487273648221 0.33924275041154867 0.33696340382423706 0.33645688236039 0.044700519184500444 6.17783e-01 25693 1.83527200000e+07 30421 37175 40477 41508 41720 41904
416 12108 4.394230769230769 2.0 19567 0 3.11972779154e+07 1.0085e+01 3.30267790000e+07 4.267779e+07 6.4982e-01 6.58248e-01 1.24365e+01 5.5063e+03 1.1845e+01 1.5691e+02 1.6618e+02 1.6475e+02 1.6164e-07 2.0000e+00 Anaheim_gamma2_3rdtry 11679 0 0 6.307299495994611e-06 0.12832903318798924 3.4150374063727846 0.35166831846712915 0.34539147670961345 0.343987446316485 0.3427485959696069 0.055665675586389164 6.20201e-01 19566 4.26777900000e+07 45810 55503 59940 61406 61880 62336
416 7897 4.394230769230769 2.0 25694 2 1.28959566118e+07 2.4508e+00 1.37764000000e+07 1.769889e+07 6.5468e-01 6.59992e-01 1.22831e+01 5.5539e+03 1.1692e+01 1.0102e+02 1.0700e+02 1.0613e+02 9.5022e-08 2.0000e+00 Anaheim_gamma2_3rdtry 7726 0 0 4.308228982550189e-06 0.011854613322548833 0.7183966260520014 0.35608458908446244 0.35431176396099784 0.353172090667342 0.35165252627580096 0.04837279979739142 6.29414e-01 25693 1.76988940000e+07 29553 35470 38468 39344 39635 39904
416 7897 4.394230769230769 2.0 25694 1 1.33525134881e+07 2.8751e+00 1.42229180000e+07 1.832295e+07 6.4632e-01 6.46837e-01 1.24814e+01 5.6343e+03 1.1866e+01 1.0252e+02 1.0878e+02 1.0784e+02 1.0766e-07 2.0000e+00 Anaheim_gamma2_3rdtry 7723 0 0 0.0007140714588049378 0.0032659901659296145 2.104142747395989 0.34114220590097505 0.33784981638596934 0.3353172090667342 0.332278080283652 0.0448271495504622 6.20222e-01 25693 1.83229460000e+07 30093 37020 40117 41070 41353 41576
416 12108 4.394230769230769 2.0 19567 1 3.14920266970e+07 1.0348e+01 3.36358140000e+07 4.303112e+07 6.4924e-01 6.51997e-01 1.24970e+01 5.9618e+03 1.1891e+01 1.5752e+02 1.6705e+02 1.6555e+02 1.6430e-07 2.0000e+00 Anaheim_gamma2_3rdtry 11701 0 0 0.0048534516079429945 0.02574316188174775 3.3184373158456495 0.35117277832837795 0.3469606871489924 0.343987446316485 0.34134456557647835 0.050214734060125533 6.19866e-01 19566 4.30311160000e+07 45778 55354 60189 61538 62101 62810
416 18564 4.394230769230769 2.0 14728 2 7.24761505020e+07 3.4028e+01 7.64478750000e+07 9.918619e+07 6.5395e-01 6.63501e-01 1.23839e+01 6.9117e+03 1.1800e+01 2.3967e+02 2.5370e+02 2.5153e+02 2.3475e-07 2.0000e+00 Anaheim_gamma2_3rdtry 17619 0 0 0.0005294788052602643 0.17381489049661084 6.586040979664236 0.36296056884292177 0.35741219564748977 0.3563887093298858 0.3495475113122172 0.06668821374703728 6.27529e-01 14727 9.91861890000e+07 68915 85090 92305 94184 94879 95537
